"Index","Carrier","Year","Service category","Request","Code type","Code","Description of service","Number of requests per code","Approval rate","Initially denied then approved - approval rate","Expedited - Avg response time","Standard - Avg response time","Extenuating circumstances - Avg response time","Expedited - Number of requests","Standard - Number of requests","Extenuating circumstances - Number of requests","Drug name","Drug brand names"
"83","Carrier E","2020","Diabetes Supplies and Equip","Codes with the highest percentage of approved prior authorization requests during the previous plan year","CPT","95250","Ambulatory continuous glucose monitoring of interstitial tissue fluid via a subcutaneous sensor","32","38%",,,,,,,,"NA","NA"
"84","Carrier E","2020","Diabetes Supplies and Equip","Codes with the highest percentage of approved prior authorization requests during the previous plan year","HCPC","A5120","SKIN BARRIER WIPES OR SWABS EACH","3","33%",,,"65",,,,,"NA","NA"
"85","Carrier F","2020","Diabetes Supplies and Equip","Codes with the highest total number of prior authorization requests during the previous plan year","NA","NA","test strips","14","84%",,"6.57","45.22",,,,,"NA","NA"
"86","Carrier F","2020","Diabetes Supplies and Equip","Codes with the highest percentage of approved prior authorization requests during the previous plan year","NA","NA","test strips","14","84%",,"6.57","45.22",,,,,"NA","NA"
"87","Carrier F","2020","Diabetes Supplies and Equip","Codes with the highest percentage of prior authorization requests that were initially denied and then subsequently approved on appeal","NA","NA","test strips","14","0%","0%","6.57","45.22",,,,,"NA","NA"
"88","Carrier G","2020","Diabetes Supplies and Equip","Codes with the highest total number of prior authorization requests during the previous plan year","CPT","E0784","EXTERNAL AMBULATORY INFUSION PUMP INSULIN","13","100%",,"14.8","99.5",,,,,"NA","NA"
"89","Carrier G","2020","Diabetes Supplies and Equip","Codes with the highest total number of prior authorization requests during the previous plan year","CPT","Q4186","EPIFIX PER SQ CM","1","100%",,,"24",,,,,"NA","NA"
"90","Carrier G","2020","Diabetes Supplies and Equip","Codes with the highest total number of prior authorization requests during the previous plan year","CPT","A4230","INFUS SET EXT INSULIN PUMP NONNDLE CANNULA TYPE","10","80%",,"13.2","31.7",,,,,"NA","NA"
"91","Carrier G","2020","Diabetes Supplies and Equip","Codes with the highest total number of prior authorization requests during the previous plan year","CPT","A9276","SENSOR;INVSV DISP INTRSTL CONT GLU MON SYS 1U Equal to 1D","29","79%",,"7.9","37.9",,,,,"NA","NA"
"92","Carrier G","2020","Diabetes Supplies and Equip","Codes with the highest total number of prior authorization requests during the previous plan year","CPT","A4232","SYRINGE W/NDLE EXTERNAL INSULIN PUMP STERILE 3CC","9","78%",,,"38.5",,,,,"NA","NA"
"93","Carrier G","2020","Diabetes Supplies and Equip","Codes with the highest total number of prior authorization requests during the previous plan year","CPT","A9277","TRANSMITTER; EXT INTERSTITIAL CONT GLU MON SYS","13","77%",,"12.2","22",,,,,"NA","NA"
"94","Carrier G","2020","Diabetes Supplies and Equip","Codes with the highest total number of prior authorization requests during the previous plan year","CPT","K0553","SUPPLY ALLOW FOR TX CGM1 MO SPL  Equal to  1 U OF SERVICE","3","67%",,,,,,,,"NA","NA"
"95","Carrier G","2020","Diabetes Supplies and Equip","Codes with the highest total number of prior authorization requests during the previous plan year","CPT","A4253","BLD GLU TEST/REAGT STRIPS HOME BLD GLU MON-50","2","50%",,,,,,,,"NA","NA"
"96","Carrier G","2020","Diabetes Supplies and Equip","Codes with the highest total number of prior authorization requests during the previous plan year","CPT","A5500","DIAB ONLY FIT CSTM PREP AND SPL SHOE MX DNSITY INSRT","1","0%",,,"46.5",,,,,"NA","NA"
"97","Carrier G","2020","Diabetes Supplies and Equip","Codes with the highest total number of prior authorization requests during the previous plan year","CPT","99499","UNLISTED EVALUATION AND MANAGEMENT SERVICE","1","0%",,"69.1",,,,,,"NA","NA"
"98","Carrier G","2020","Diabetes Supplies and Equip","Codes with the highest percentage of approved prior authorization requests during the previous plan year","CPT","E0784","EXTERNAL AMBULATORY INFUSION PUMP INSULIN","13","100%",,"14.8","95.5",,,,,"NA","NA"
"99","Carrier G","2020","Diabetes Supplies and Equip","Codes with the highest percentage of approved prior authorization requests during the previous plan year","CPT","A9274","EXTERNAL AMB INSULIN DEL SYSTEM DISPOSABLE EA","1","100%",,,"56.9",,,,,"NA","NA"
"100","Carrier G","2020","Diabetes Supplies and Equip","Codes with the highest percentage of approved prior authorization requests during the previous plan year","CPT","A5514","DIAB ONLY MX DEN INSRT DIRECT CARV CUSTOM FAB EA","1","100%",,,"76.5",,,,,"NA","NA"
