"Index","Carrier","Year","Service category","Request","Code type","Code","Description of service","Number of requests per code","Approval rate","Initially denied then approved - approval rate","Expedited - Avg response time","Standard - Avg response time","Extenuating circumstances - Avg response time","Expedited - Number of requests","Standard - Number of requests","Extenuating circumstances - Number of requests","Drug name","Drug brand names"
"1643","Carrier J","2020","Outpatient MH-SUD","Codes with the highest percentage of prior authorization requests that were initially denied and then subsequently approved on appeal","CPT","97151","Behavior identification assessment, administered by a physician or other qualified health care professional, each 15 minutes of the physician's or other qualified health care professional's time face-to-face with patient and/or guardian(s)/caregiver(s) administering assessments and discussing findings and recommendations, and non-face-to-face analyzing past data, scoring/interpreting the assessment, and preparing the report/treatment plan","46","0%","2%",,"65.18",,,,,"NA","NA"
"1644","Carrier J","2020","Outpatient MH-SUD","Codes with the highest percentage of prior authorization requests that were initially denied and then subsequently approved on appeal","CPT","97155","Adaptive behavior treatment with protocol modification, administered by physician or other qualified health care professional, which may include simultaneous direction of technician, face-to-face with one patient, each 15 minutes","48","0%","2%",,"74.9",,,,,"NA","NA"
"1645","Carrier J","2020","Outpatient MH-SUD","Codes with the highest percentage of prior authorization requests that were initially denied and then subsequently approved on appeal","CPT","97156","Family adaptive behavior treatment guidance, administered by physician or other qualified health care professional (with or without the patient present), face-to-face with guardian(s)/caregiver(s), each 15 minutes","49","0%","2%",,"73.43",,,,,"NA","NA"
"1646","Carrier J","2020","Outpatient MH-SUD","Codes with the highest percentage of prior authorization requests that were initially denied and then subsequently approved on appeal","CPT","90869","Therapeutic repetitive transcranial magnetic stimulation (TMS) treatment; subsequent motor threshold re-determination with delivery and management","57","0%","2%","25.39","38.91",,,,,"NA","NA"
"1647","Carrier J","2020","Outpatient MH-SUD","Codes with the highest percentage of prior authorization requests that were initially denied and then subsequently approved on appeal","CPT","90867","Therapeutic repetitive transcranial magnetic stimulation (TMS) treatment; initial, including cortical mapping, motor threshold determination, delivery and management","66","0%","2%","22.38","45.15",,,,,"NA","NA"
"1648","Carrier K","2020","Outpatient MH-SUD","Codes with the highest total number of prior authorization requests during the previous plan year","NA","NA","Psychological and Neuropsychological Test Administration","54","100%",,,"19.82",,,,,"NA","NA"
"1649","Carrier K","2020","Outpatient MH-SUD","Codes with the highest total number of prior authorization requests during the previous plan year","NA","NA","SUD IOP Adult","104","99%",,"0.07","1.69",,,,,"NA","NA"
"1650","Carrier K","2020","Outpatient MH-SUD","Codes with the highest total number of prior authorization requests during the previous plan year","NA","NA","SUD Partial Adult","103","99%",,"1.38","15.18",,,,,"NA","NA"
"1651","Carrier K","2020","Outpatient MH-SUD","Codes with the highest total number of prior authorization requests during the previous plan year","NA","NA","MH IOP Adult","93","99%",,,"9.08",,,,,"NA","NA"
"1652","Carrier K","2020","Outpatient MH-SUD","Codes with the highest total number of prior authorization requests during the previous plan year","NA","NA","MH Partial Adult","90","98%",,"0.4","2.48","35",,,,"NA","NA"
"1653","Carrier K","2020","Outpatient MH-SUD","Codes with the highest total number of prior authorization requests during the previous plan year","NA","NA","SUD Detox Residential Adult","54","98%",,"0.66","4.09",,,,,"NA","NA"
"1654","Carrier K","2020","Outpatient MH-SUD","Codes with the highest total number of prior authorization requests during the previous plan year","NA","NA","MH Residential Adult","44","98%",,"1.92","14",,,,,"NA","NA"
"1655","Carrier K","2020","Outpatient MH-SUD","Codes with the highest total number of prior authorization requests during the previous plan year","NA","NA","SUD Residential Adult","116","97%",,"12.96","1.19",,,,,"NA","NA"
"1656","Carrier K","2020","Outpatient MH-SUD","Codes with the highest total number of prior authorization requests during the previous plan year","NA","NA","MH Partial Eating Disorder Adult","32","97%",,"6.9","12.18",,,,,"NA","NA"
"1657","Carrier K","2020","Outpatient MH-SUD","Codes with the highest total number of prior authorization requests during the previous plan year","NA","NA","Psychological Testing","67","93%",,,"25.38",,,,,"NA","NA"
"1658","Carrier K","2020","Outpatient MH-SUD","Codes with the highest percentage of approved prior authorization requests during the previous plan year","NA","NA","Psychological and Neuropsychological Test Administration","54","100%",,,"19.82",,,,,"NA","NA"
"1659","Carrier K","2020","Outpatient MH-SUD","Codes with the highest percentage of approved prior authorization requests during the previous plan year","NA","NA","ABA Behavior Identification Assessments","27","100%",,,"5.97",,,,,"NA","NA"
"1660","Carrier K","2020","Outpatient MH-SUD","Codes with the highest percentage of approved prior authorization requests during the previous plan year","NA","NA","MH IOP Adolescent","26","100%",,,"0.92",,,,,"NA","NA"
"1661","Carrier K","2020","Outpatient MH-SUD","Codes with the highest percentage of approved prior authorization requests during the previous plan year","NA","NA","MH Residential Eating Disorder Adult","25","100%",,"2.99","24.64",,,,,"NA","NA"
"1662","Carrier K","2020","Outpatient MH-SUD","Codes with the highest percentage of approved prior authorization requests during the previous plan year","NA","NA","ABA Direct Care Codes","25","100%",,,"2.63",,,,,"NA","NA"
"1663","Carrier K","2020","Outpatient MH-SUD","Codes with the highest percentage of approved prior authorization requests during the previous plan year","NA","NA","MH IOP Eating Disorder Adult","24","100%",,,"7.84",,,,,"NA","NA"
"1664","Carrier K","2020","Outpatient MH-SUD","Codes with the highest percentage of approved prior authorization requests during the previous plan year","NA","NA","ABA Qualified Health Professional Services","24","100%",,,"2.73",,,,,"NA","NA"
"1665","Carrier K","2020","Outpatient MH-SUD","Codes with the highest percentage of approved prior authorization requests during the previous plan year","NA","NA","MH Residential Adolescent","23","100%",,"0.05","6.66",,,,,"NA","NA"
"1666","Carrier K","2020","Outpatient MH-SUD","Codes with the highest percentage of approved prior authorization requests during the previous plan year","NA","NA","MH Partial Eating Disorder Adolescent","14","100%",,"22.67","15.1",,,,,"NA","NA"
"1667","Carrier K","2020","Outpatient MH-SUD","Codes with the highest percentage of approved prior authorization requests during the previous plan year","NA","NA","SUD Residential Adolescent","13","100%",,"0.04","24.09",,,,,"NA","NA"
"1668","Carrier K","2020","Outpatient MH-SUD","Codes with the highest percentage of prior authorization requests that were initially denied and then subsequently approved on appeal","NA","NA","MH Partial Adolescent","20","0%","95%",,"40.45",,,,,"NA","NA"
"1669","Carrier K","2020","Outpatient MH-SUD","Codes with the highest percentage of prior authorization requests that were initially denied and then subsequently approved on appeal","NA","NA","Transcranial Magnetic Stimulation (TMS)","17","0%","59%",,"44.03",,,,,"NA","NA"
"1670","Carrier M","2021","DME","Codes with the highest total number of prior authorization requests during the previous plan year","HCPC","E2311","POWER WHEELCHAIR ACCESSORY, ELECTRONIC CONNECTION BETWEEN WHEELCHAIR CONTROLLER AND TWO OR MORE POWER SEATING SYSTEM MOTORS, INCLUDING ALL RELATED ELECTRONICS, INDICATOR FEATURE, MECHANICAL FUNCTION SELECTION SWITCH, AND FIXEDMOUNTING HARDWARE","2","100%",,,"72",,"0","2",,"NA","NA"
"1671","Carrier M","2021","DME","Codes with the highest total number of prior authorization requests during the previous plan year","HCPC","K0108","WHEELCHAIR COMPONENT OR ACCESSORY, NOT OTHERWISE SPECIFIED","2","100%",,,"72",,"0","2",,"NA","NA"
"1672","Carrier M","2021","DME","Codes with the highest total number of prior authorization requests during the previous plan year","HCPC","K0861","POWER WHEELCHAIR, GROUP 3 STANDARD, MULTIPLE POWER OPTION, SLING/SOLID SEAT/BACK, PATIENT WEIGHT CAPACITY UP TO AND INCLUDING 300 POUNDS","2","100%",,,"72",,"0","2",,"NA","NA"
"1673","Carrier M","2021","DME","Codes with the highest total number of prior authorization requests during the previous plan year","HCPC","92700","UNLISTED OTORHINOLARYNGOLOGICAL SERVICE OR PROCEDURE","1","100%",,,"48",,"0","1",,"NA","NA"
"1674","Carrier M","2021","DME","Codes with the highest total number of prior authorization requests during the previous plan year","HCPC","E0951","HEEL LOOP/HOLDER, WITH OR WITHOUT ANKLE STRAP, EACH","1","100%",,,"48",,"0","1",,"NA","NA"
"1675","Carrier M","2021","DME","Codes with the highest total number of prior authorization requests during the previous plan year","HCPC","E0953","WHEELCHAIR ACCESSORY, LATERAL THIGH OR KNEE SUPPORT, ANY TYPE INCLUDING FIXED MOUNTING HARDWARE, EACH","1","100%",,,"48",,"0","1",,"NA","NA"
"1676","Carrier M","2021","DME","Codes with the highest total number of prior authorization requests during the previous plan year","HCPC","E0955","WHEELCHAIR ACCESSORY, HEADREST, CUSHIONED, PREFABRICATED, INCLUDING FIXED HARDWARE, EACH","1","100%",,,"48",,"0","1",,"NA","NA"
"1677","Carrier M","2021","DME","Codes with the highest total number of prior authorization requests during the previous plan year","HCPC","E0973","WHEELCHAIR ACCESSORY, ADJUSTABLE HEIGHT, DETACHABLE ARMREST, COMPLETE ASSEMBLY, EACH","1","100%",,,"96",,"0","1",,"NA","NA"
"1678","Carrier M","2021","DME","Codes with the highest total number of prior authorization requests during the previous plan year","HCPC","E1012","WHEELCHAIR ACCESSORY, ADDITION TO POWER SEATING SYSTEM, CENTER MOUNT POWER ELEVATING LEG REST/PLATFORM, COMPLETE SYSTEM, ANY TYPE, EACH","1","100%",,,"48",,"0","1",,"NA","NA"
"1679","Carrier M","2021","DME","Codes with the highest total number of prior authorization requests during the previous plan year","HCPC","E1007","WHEELCHAIR ACCESSORY, POWER SEATING SYSTEM, COMBINATION TILT AND RECLINE, WITH MECHANICAL SHEAR REDUCTION","3","67%",,,"56",,"0","3",,"NA","NA"
"1680","Carrier M","2021","DME","Codes with the highest percentage of approved prior authorization requests during the previous plan year","HCPC","E2311","POWER WHEELCHAIR ACCESSORY, ELECTRONIC CONNECTION BETWEEN WHEELCHAIR CONTROLLER AND TWO OR MORE POWER SEATING SYSTEM MOTORS, INCLUDING ALL RELATED ELECTRONICS, INDICATOR FEATURE, MECHANICAL FUNCTION SELECTION SWITCH, AND FIXEDMOUNTING HARDWARE","2","100%",,,"72",,"0","2",,"NA","NA"
"1681","Carrier M","2021","DME","Codes with the highest percentage of approved prior authorization requests during the previous plan year","HCPC","K0108","WHEELCHAIR COMPONENT OR ACCESSORY, NOT OTHERWISE SPECIFIED","2","100%",,,"72",,"0","2",,"NA","NA"
"1682","Carrier M","2021","DME","Codes with the highest percentage of approved prior authorization requests during the previous plan year","HCPC","K0861","POWER WHEELCHAIR, GROUP 3 STANDARD, MULTIPLE POWER OPTION, SLING/SOLID SEAT/BACK, PATIENT WEIGHT CAPACITY UP TO AND INCLUDING 300 POUNDS","2","100%",,,"72",,"0","2",,"NA","NA"
