Carrier,Year,Service category,Request,Code type,Code,Description of service,Number of requests per code,Expedited - Avg response time,Standard - Avg response time,Extenuating circumstances - Avg response time,Expedited - Number of requests,Standard - Number of requests,Extenuating circumstances - Number of requests,Drug name,Drug brand names,decision
Carrier G,2020,Diabetes Supplies and Equip,Codes with the highest percentage of approved prior authorization requests during the previous plan year,CPT,A4230,INFUS SET EXT INSULIN PUMP NONNDLE CANNULA TYPE,10.0,14.8,35.4,,,,,missing,missing,approved
Carrier G,2020,Diabetes Supplies and Equip,Codes with the highest percentage of approved prior authorization requests during the previous plan year,CPT,A9276,SENSOR;INVSV DISP INTRSTL CONT GLU MON SYS 1U Equal to 1D,29.0,8.5,29.2,,,,,missing,missing,approved
Carrier G,2020,Diabetes Supplies and Equip,Codes with the highest percentage of approved prior authorization requests during the previous plan year,CPT,A4232,SYRINGE W/NDLE EXTERNAL INSULIN PUMP STERILE 3CC,9.0,14.8,38.5,,,,,missing,missing,approved
Carrier G,2020,Diabetes Supplies and Equip,Codes with the highest percentage of approved prior authorization requests during the previous plan year,CPT,A9277,TRANSMITTER; EXT INTERSTITIAL CONT GLU MON SYS,13.0,12.2,22.0,,,,,missing,missing,approved
Carrier G,2020,Diabetes Supplies and Equip,Codes with the highest percentage of approved prior authorization requests during the previous plan year,CPT,K0553,SUPPLY ALLOW FOR TX CGM1 MO SPL  Equal to  1 U OF SERVICE,3.0,1.7,213.8,,,,,missing,missing,approved
Carrier G,2020,Diabetes Supplies and Equip,Codes with the highest percentage of prior authorization requests that were initially denied and then subsequently approved on appeal,CPT,A4232,SYRINGE W/NDLE EXTERNAL INSULIN PUMP STERILE 3CC,9.0,14.8,38.5,,,,,missing,missing,denied
Carrier G,2020,Diabetes Supplies and Equip,Codes with the highest percentage of prior authorization requests that were initially denied and then subsequently approved on appeal,CPT,A4230,INFUS SET EXT INSULIN PUMP NONNDLE CANNULA TYPE,10.0,14.8,35.4,,,,,missing,missing,denied
Carrier G,2020,Diabetes Supplies and Equip,Codes with the highest percentage of prior authorization requests that were initially denied and then subsequently approved on appeal,CPT,A9277,TRANSMITTER; EXT INTERSTITIAL CONT GLU MON SYS,13.0,12.2,22.0,,,,,missing,missing,denied
Carrier G,2020,Diabetes Supplies and Equip,Codes with the highest percentage of prior authorization requests that were initially denied and then subsequently approved on appeal,CPT,E0784,EXTERNAL AMBULATORY INFUSION PUMP INSULIN,13.0,14.8,95.5,,,,,missing,missing,denied
Carrier G,2020,Diabetes Supplies and Equip,Codes with the highest percentage of prior authorization requests that were initially denied and then subsequently approved on appeal,CPT,A9276,SENSOR;INVSV DISP INTRSTL CONT GLU MON SYS 1U Equal to 1D,29.0,8.5,29.2,,,,,missing,missing,denied
Carrier H,2020,Diabetes Supplies and Equip,Codes with the highest total number of prior authorization requests during the previous plan year,missing,missing,test strips,218.0,6.51,8.17,,,,,missing,missing,approved
Carrier H,2020,Diabetes Supplies and Equip,Codes with the highest percentage of approved prior authorization requests during the previous plan year,missing,missing,test strips,218.0,6.51,8.17,,,,,missing,missing,approved
Carrier H,2020,Diabetes Supplies and Equip,Codes with the highest percentage of prior authorization requests that were initially denied and then subsequently approved on appeal,missing,missing,test strips,218.0,6.5,8.17,,,,,missing,missing,denied
Carrier I,2020,Diabetes Supplies and Equip,Codes with the highest total number of prior authorization requests during the previous plan year,HCPC,E0784,Ext Amb Infusn Pump Insulin,8.0,,20.44,360.0,,,,missing,missing,approved
Carrier I,2020,Diabetes Supplies and Equip,Codes with the highest percentage of approved prior authorization requests during the previous plan year,HCPC,E0784,Ext Amb Infusn Pump Insulin,8.0,,20.44,0.2,,,,missing,missing,approved
Carrier J,2020,Diabetes Supplies and Equip,Codes with the highest total number of prior authorization requests during the previous plan year,HCPC,E0784,Ext Amb Infusn Pump Insulin,95.0,,49.14,,,,,missing,missing,approved
Carrier J,2020,Diabetes Supplies and Equip,Codes with the highest total number of prior authorization requests during the previous plan year,HCPC,E0781,External Ambulatory Infus Pu,1.0,,,,,,,missing,missing,denied
